review_id,posting_date,text,cleanliness,communication,check_in,accuracy,location,value
1,Fri Oct 09 2020 05:18:24 GMT-0700 (Pacific Daylight Time),Qui et aut recusandae sint quia quos voluptates numquam. Culpa nulla aliquid a accusantium autem dolorem. Illum itaque corrupti ratione minima assumenda qui sequi iusto nam.,2,4,4,2,3,3
2,Thu Jan 23 2020 02:47:52 GMT-0800 (Pacific Standard Time),Voluptatem quo culpa deleniti ullam iste consequatur quibusdam eaque. Pariatur dolorum facilis eum. Deleniti necessitatibus odit qui nesciunt. Quas dicta ea nihil quod et nihil veniam rerum. Dolorem qui nulla.,1,5,1,2,1,4
3,Sat Aug 15 2020 19:51:02 GMT-0700 (Pacific Daylight Time),Facilis iusto eos blanditiis error ut aut quasi. Accusamus atque architecto ipsum totam rerum tenetur. Dolor omnis a sit laudantium ipsam aut architecto. Velit ut nemo soluta autem maiores.,1,3,4,1,3,3
4,Thu Feb 20 2020 18:57:24 GMT-0800 (Pacific Standard Time),Aliquid ipsum iste. Illo qui accusamus cum minima quo autem id. Voluptas totam consequatur voluptates porro blanditiis. Et ut qui maxime sint ut. Est temporibus quam nihil id et. Soluta fuga necessitatibus deserunt laboriosam et quo beatae velit enim.,3,5,3,3,5,2
5,Sat Feb 01 2020 21:06:20 GMT-0800 (Pacific Standard Time),Similique recusandae ut. Sit voluptatum deserunt in.,2,5,2,2,1,2
6,Mon Jun 01 2020 13:34:03 GMT-0700 (Pacific Daylight Time),Fugit non quia iste perspiciatis modi tenetur molestias. Et et voluptas aut qui est beatae cum accusantium. Minus veritatis quia neque magnam. Molestiae hic sed occaecati aut mollitia sit magnam qui officiis. Reprehenderit dolorem atque qui.,5,1,2,1,2,2
7,Tue Dec 10 2019 21:33:03 GMT-0800 (Pacific Standard Time),Suscipit reprehenderit sunt placeat sunt odit et facilis. Quos dicta atque quo sunt quis inventore ducimus nam consectetur.,1,1,2,3,4,5
8,Mon Feb 03 2020 14:35:03 GMT-0800 (Pacific Standard Time),Ducimus cum perferendis voluptatem illum accusamus. Temporibus inventore iusto eligendi. Alias dolor tempore ut culpa minus explicabo saepe.,3,5,3,2,5,2
9,Fri Jul 10 2020 11:57:41 GMT-0700 (Pacific Daylight Time),Magni et dolor. Velit in sequi. Odio error quasi magni quisquam. Nam nisi et nostrum delectus. Quisquam perferendis veniam et fugit maiores.,1,2,5,4,3,5
10,Fri Feb 28 2020 19:34:28 GMT-0800 (Pacific Standard Time),Fugiat quaerat iste rerum. Eius nesciunt vitae dolorum aliquid quae omnis voluptatem magnam vero. Sit ipsa quaerat beatae dolore eum et quibusdam quia. Aliquid minima aliquid. Perspiciatis rerum occaecati similique assumenda non sunt et sit. Facere et alias ut asperiores iste.,2,3,2,4,4,4
