review_id,listing_id,addres,posting_date,text,cleanliness,communication,check_in,accuracy,location,value
1,1,"58230 Terry Mountain St. Cristiantown, New Mexico, 60565-9818",Wed Jul 08 2020 17:17:02 GMT-0700 (Pacific Daylight Time),Nesciunt est magnam. Est quod nisi excepturi. Qui quidem nihil. Omnis delectus ea neque cupiditate. Et quo ut. Eum vero reprehenderit et.,3,5,5,4,3,1
2,2,"29753 Estel Plaza St. North Eliza, Wyoming, 75756",Sun Feb 02 2020 06:43:24 GMT-0800 (Pacific Standard Time),Minima atque repudiandae quam consequatur aspernatur sit. Corrupti at perspiciatis a consequatur. Sit sapiente dolore quo. Et earum exercitationem omnis ut omnis necessitatibus in eos. Voluptas odit nesciunt accusamus non laudantium quia reiciendis facilis.,4,5,5,4,2,4
3,3,"61377 Lauryn Cove St. Ortizfurt, South Carolina, 79095-4422",Sun Sep 06 2020 01:24:17 GMT-0700 (Pacific Daylight Time),Atque rerum quaerat. Doloremque ea facilis ab sed ea enim nisi ut. Ex dolores tenetur libero facere dolorum consequuntur facere qui eos. Laborum consequatur doloremque. Dolorum facilis porro illo. Nulla eius repellendus delectus.,3,4,5,1,1,4
4,4,"50147 Sydnie Crest St. East Huldabury, Arizona, 22258-4088",Sun Dec 29 2019 10:39:48 GMT-0800 (Pacific Standard Time),Voluptas reiciendis repellendus quo saepe nesciunt fugit soluta eveniet ut. Voluptas culpa ullam. Natus consequuntur pariatur sit non eos laboriosam qui. Non vel numquam vero id eveniet nisi laboriosam qui.,2,3,4,2,1,3
5,5,"798 Alice Rapids St. Generalfurt, Nevada, 92437-7147",Thu Oct 01 2020 12:13:28 GMT-0700 (Pacific Daylight Time),Suscipit et quis voluptatem minus blanditiis et est repellat alias. Beatae totam architecto.,3,1,3,4,5,5
6,6,"2132 Orn Lodge St. Reynoldsburgh, North Carolina, 46598",Tue Dec 01 2020 00:26:47 GMT-0800 (Pacific Standard Time),Qui inventore recusandae possimus vero sint qui voluptate qui quasi. Est labore vitae quod voluptatum. Eum adipisci amet quia sunt et non quisquam.,2,2,1,1,2,3
7,7,"90269 Champlin Street St. Botsfordfort, Iowa, 12542-5167",Wed Aug 12 2020 00:40:21 GMT-0700 (Pacific Daylight Time),Ut nam qui voluptatem excepturi quae repudiandae sed sit. Animi earum minima ut nesciunt quidem voluptatem molestiae. Eius in consequuntur placeat expedita sequi. Dolores sunt sed. Facere culpa provident est incidunt tenetur quisquam.,5,5,5,1,5,1
8,8,"382 Swaniawski Centers St. Lake Layne, Indiana, 69353-0359",Thu Jan 30 2020 18:06:32 GMT-0800 (Pacific Standard Time),In id nisi cumque qui sed rerum impedit. Nihil officia itaque voluptas rem magnam omnis placeat voluptatum quos. Cum illo omnis et modi quo dolorem corrupti pariatur. Consequatur quia quaerat doloribus dolor corrupti.,3,4,5,1,4,5
9,9,"8218 Waelchi Extension St. North Prudencefort, Wisconsin, 84452",Thu Jul 16 2020 00:01:34 GMT-0700 (Pacific Daylight Time),Voluptas est dicta quae iure a dolor. Illum ad optio exercitationem perspiciatis eum commodi officia quis deserunt.,1,1,2,4,2,2
10,10,"5210 Friedrich Wells St. Anthonyshire, Hawaii, 48723-7483",Sat Nov 14 2020 13:58:38 GMT-0800 (Pacific Standard Time),Impedit dolores harum. Facilis ipsa accusantium qui ut. Enim illo nisi repellat et quis blanditiis laboriosam voluptas. Tempora tempore aperiam dolore doloremque qui ut repellendus.,3,4,5,2,3,4
