review_id,posting_date,text,cleanliness,communication,check_in,accuracy,location,value
1,Sun Oct 25 2020 00:26:56 GMT-0700 (Pacific Daylight Time),Est ut sed ratione beatae. Vel nihil asperiores perspiciatis. Quia odit est in quam et suscipit eligendi est. Aut dolorem qui ab mollitia.,2,2,4,1,2,4
2,Fri Jul 24 2020 00:04:31 GMT-0700 (Pacific Daylight Time),Perspiciatis eos iste perferendis perspiciatis doloremque ut quasi. Culpa voluptatum similique sunt eligendi consequatur sed sed. Doloremque aut et sit. Temporibus ut labore atque quos. Dignissimos dolores molestias sed enim aut et harum.,3,4,2,4,3,4
3,Sun Jul 19 2020 08:55:19 GMT-0700 (Pacific Daylight Time),Quam qui quia odio fugit eligendi iste. Pariatur ut aspernatur vero et tempora est voluptatem officiis expedita. Sed accusamus porro iusto inventore. Laboriosam et ut velit incidunt excepturi quia laborum. Dicta laborum est temporibus possimus atque.,5,4,5,3,1,2
4,Sat Apr 25 2020 12:50:15 GMT-0700 (Pacific Daylight Time),Accusantium praesentium aut soluta. Alias at aut. Alias omnis adipisci vel dolorum doloremque enim odio.,3,5,2,4,4,2
5,Sat Jun 20 2020 15:01:24 GMT-0700 (Pacific Daylight Time),Aliquid corrupti deleniti. Rerum autem odit eligendi impedit. Nesciunt sed repudiandae. Vel voluptatum est reprehenderit magni atque et aut. Amet aut explicabo et. Itaque aut eum molestiae.,4,1,2,1,4,1
6,Mon Mar 09 2020 13:34:12 GMT-0700 (Pacific Daylight Time),Deleniti sapiente eaque ipsa dolor quo veniam. Expedita iusto doloribus. Velit et minima vel possimus. Et ea et sequi iusto eligendi.,5,4,4,1,1,2
7,Fri Mar 20 2020 03:57:16 GMT-0700 (Pacific Daylight Time),Tenetur harum illo sint exercitationem numquam rerum aut. Libero quos similique itaque quia sit in dignissimos dolorem laudantium.,3,4,1,5,1,4
8,Sun Aug 30 2020 03:18:22 GMT-0700 (Pacific Daylight Time),Sit rerum voluptas labore. Quia possimus aliquam veniam voluptate. Beatae dolor aut illo totam praesentium et.,2,2,3,4,2,3
9,Tue Apr 07 2020 03:31:03 GMT-0700 (Pacific Daylight Time),Qui modi tenetur reiciendis dolores ad minima aut est dolor. Ut eaque omnis et.,5,3,5,2,5,2
10,Sun Aug 30 2020 16:58:02 GMT-0700 (Pacific Daylight Time),Est sint natus. Voluptatibus architecto quia velit.,1,1,4,4,1,4
